ticker,n,on_bull_bps,on_bull_t,on_bull_n,on_bear_bps,on_bear_t,on_bear_n,on_own_up_bps,on_own_up_t,on_own_up_n,on_own_down_bps,on_own_down_t,on_own_down_n,on_prev_up_bps,on_prev_up_t,on_prev_up_n,on_prev_down_bps,on_prev_down_t,on_prev_down_n,in_bull_bps,in_bear_bps
MU,6646,20.27,8.58,4919,7.06,1.17,1727,23.14,7.99,3518,9.75,2.57,3128,21.17,6.36,3322,12.51,3.76,3324,-7.88,-0.54
NVDA,6646,18.76,7.81,4919,-1.01,-0.15,1727,17.65,6.89,4753,3.51,0.57,1893,19.81,6.07,3445,6.96,1.78,3201,1.54,14.8
AMD,6646,16.08,5.86,4919,20.4,2.85,1727,17.21,4.87,3666,17.19,3.96,2980,22.88,6.18,3318,11.54,2.83,3328,-1.78,-11.58
INTC,6646,4.27,2.21,4919,0.13,0.03,1727,2.53,1.07,3752,4.05,1.26,2894,1.32,0.49,3365,5.12,1.83,3281,-0.12,8.93
TSM,6646,15.04,7.51,4919,-1.87,-0.33,1727,12.03,5.61,4640,7.45,1.56,2006,8.47,2.95,3350,12.86,4.27,3296,-7.18,14.81
AVGO,4232,13.03,5.78,3569,13.47,1.89,663,12.54,5.37,3407,15.39,2.6,825,10.73,3.75,2263,15.82,4.64,1969,1.31,14.93
QCOM,6646,2.85,1.51,4919,-5.13,-1.08,1727,-0.07,-0.03,3635,1.8,0.6,3011,0.09,0.04,3365,1.48,0.57,3281,1.05,15.76
TXN,6646,2.75,1.82,4919,-3.42,-0.67,1727,2.28,1.4,4200,-0.81,-0.21,2446,-2.0,-0.82,3410,4.46,1.82,3236,2.41,13.28
AAPL,6646,10.94,5.82,4919,-2.93,-0.64,1727,9.9,5.67,4938,-0.06,-0.01,1708,8.27,3.09,3478,6.31,2.56,3168,2.65,10.93
MSFT,6646,3.22,2.4,4919,2.94,0.83,1727,2.23,1.51,4469,5.04,1.79,2177,0.05,0.02,3392,6.38,3.49,3254,1.38,4.85
AMZN,6646,6.45,3.04,4919,-4.82,-0.74,1727,4.31,1.98,4413,1.98,0.37,2233,1.8,0.62,3402,5.33,1.48,3244,3.36,19.51
GOOGL,5482,9.63,5.96,4393,8.47,1.56,1089,8.9,5.15,3990,10.73,2.61,1492,9.36,4.13,2885,9.45,3.76,2597,1.52,1.28
META,3530,9.5,3.28,3019,1.34,0.12,511,11.58,3.9,2603,-0.83,-0.11,927,10.02,2.33,1846,6.46,1.59,1684,0.93,14.99
TSLA,4007,18.55,5.23,3364,13.35,1.28,643,19.78,4.41,2442,14.5,2.75,1565,25.39,5.7,2069,9.53,1.82,1938,3.72,-3.12
NFLX,6046,12.8,4.55,4718,-4.31,-0.56,1328,10.75,3.69,4134,5.34,0.88,1912,11.57,2.7,3055,6.46,1.85,2991,6.78,11.79
JPM,6646,5.02,4.15,4919,1.47,0.3,1727,2.17,1.66,4317,7.67,2.08,2329,3.85,1.83,3387,4.36,1.91,3259,-0.09,9.38
XOM,6646,1.33,1.27,4919,0.65,0.2,1727,-0.39,-0.34,4142,3.71,1.62,2504,-0.34,-0.23,3410,2.73,1.58,3236,2.07,7.3
KO,6646,1.62,2.1,4919,-2.09,-0.89,1727,-2.01,-2.39,4567,6.51,3.38,2079,-1.03,-0.94,3421,2.45,1.93,3225,1.93,5.25
WMT,6646,1.45,1.43,4919,-0.78,-0.3,1727,-1.02,-0.93,4479,4.79,2.26,2167,-0.8,-0.58,3434,2.66,1.78,3212,1.23,9.63
BA,6646,5.62,4.0,4919,2.25,0.51,1727,4.78,3.6,4245,4.69,1.31,2401,6.57,3.15,3402,2.83,1.24,3244,1.07,-0.22
SPY,6646,3.83,5.63,4919,0.25,0.09,1727,3.83,5.63,4919,0.25,0.09,1727,0.59,0.54,3624,5.67,4.11,3022,-0.07,3.89
QQQ,6646,5.81,6.35,4919,1.37,0.41,1727,5.82,6.09,4892,1.42,0.44,1754,3.36,2.48,3623,6.21,3.46,3023,-0.64,2.27
