ticker,since,ann_vol_pct,on_mean_bps,on_t,on_cagr,in_mean_bps,in_t,in_cagr
MU,2000-01-03,56.4,16.84,7.16,45.9,-5.98,-1.66,-22.85
AMD,2000-01-03,61.9,17.2,6.25,44.85,-4.32,-1.09,-21.24
AVGO,2009-08-07,38.1,13.09,5.94,35.51,3.49,1.2,4.39
GOOGL,2004-08-20,30.7,9.41,5.59,24.33,1.6,0.79,1.2
NVDA,2000-01-03,58.8,13.62,5.38,33.48,4.99,1.3,0.46
TSLA,2010-06-30,57.4,17.91,5.23,48.06,2.43,0.53,-4.54
TSM,2000-01-03,41.2,10.65,5.12,26.09,-1.47,-0.62,-8.07
QQQ,2000-01-03,26.8,4.66,4.23,11.31,0.12,0.07,-2.3
AAPL,2000-01-03,38.4,7.34,4.01,16.72,4.81,1.99,7.52
SPY,2000-01-03,19.3,2.9,3.35,6.9,0.96,0.8,1.21
NFLX,2002-05-24,54.5,9.06,3.27,18.28,7.87,2.23,11.0
BA,2000-01-03,35.2,4.75,3.07,10.47,0.74,0.34,-2.02
META,2012-05-21,39.7,8.19,2.76,18.2,2.77,0.91,2.94
JPM,2000-01-03,36.8,4.1,2.65,8.68,2.37,1.01,1.37
MSFT,2000-01-03,30.1,3.15,2.33,6.61,2.29,1.24,2.98
INTC,2000-01-03,40.8,3.19,1.65,5.0,2.23,0.91,0.6
AMZN,2000-01-03,48.7,3.52,1.53,4.64,7.55,2.47,11.94
XOM,2000-01-03,26.3,1.15,1.02,1.84,3.43,2.06,6.52
WMT,2000-01-03,23.5,0.87,0.86,1.34,3.41,2.21,6.83
KO,2000-01-03,20.3,0.66,0.79,1.08,2.79,2.08,5.68
TXN,2000-01-03,37.9,1.15,0.66,0.37,5.24,2.15,8.62
QCOM,2000-01-03,42.4,0.78,0.42,-0.93,4.88,1.8,6.39
